WBIC,dnr_field,dnr_lab,edi,usgs_lab,final_value,datasource,unit
326400,379.3366675,441.6818182,308,NA,441.6818182,dnr_lab,us/cm
337600,195.3,354.3333333,331,NA,354.3333333,dnr_lab,us/cm
339600,NA,222.5,200,287.67,222.5,dnr_lab,us/cm
339900,330,229.5,NA,238.75,229.5,dnr_lab,us/cm
340500,NA,NA,266,247.13,266,edi,us/cm
340900,260,NA,211,253,260,dnr_field,us/cm
341000,NA,NA,178,218.83,178,edi,us/cm
345100,NA,223,262,NA,223,dnr_lab,us/cm
365500,270,NA,270,NA,270,dnr_field,us/cm
377900,NA,NA,103,NA,103,edi,us/cm
387200,130,NA,108,NA,130,dnr_field,us/cm
388500,172.9,187.4,191,NA,187.4,dnr_lab,us/cm
388700,NA,NA,20,NA,20,edi,us/cm
389700,10,NA,30,NA,10,dnr_field,us/cm
390600,NA,NA,71,48,71,edi,us/cm
392100,150,NA,209,NA,150,dnr_field,us/cm
396500,100,NA,61,NA,100,dnr_field,us/cm
396700,NA,NA,22,16,22,edi,us/cm
406600,NA,NA,215,NA,215,edi,us/cm
415000,241.0285357,335,247,NA,335,dnr_lab,us/cm
417300,NA,46.5,35,NA,46.5,dnr_lab,us/cm
417400,NA,202.6666667,185,NA,202.6666667,dnr_lab,us/cm
417900,189.2010929,199,186,NA,199,dnr_lab,us/cm
418000,197.8847727,59.81764706,71,NA,59.81764706,dnr_lab,us/cm
418300,152.2272727,159.1111111,156,163,159.1111111,dnr_lab,us/cm
418700,158.2470588,NA,154,NA,158.2470588,dnr_field,us/cm
421600,40,37,57,NA,37,dnr_lab,us/cm
421800,30,65,53,NA,65,dnr_lab,us/cm
425600,189.2666667,202.2,198,NA,202.2,dnr_lab,us/cm
427300,NA,116.5,94,NA,116.5,dnr_lab,us/cm
427500,NA,275,232,NA,275,dnr_lab,us/cm
427900,150,NA,159,NA,150,dnr_field,us/cm
428100,20,28.66666667,26,NA,28.66666667,dnr_lab,us/cm
439500,148.1428571,124,127,NA,124,dnr_lab,us/cm
439800,NA,176,145,NA,176,dnr_lab,us/cm
447000,291,215,256,NA,215,dnr_lab,us/cm
454200,NA,403,212,204.06,403,dnr_lab,us/cm
455300,414.0952381,NA,262,NA,414.0952381,dnr_field,us/cm
457300,NA,104,133,NA,104,dnr_lab,us/cm
466900,NA,238,229,NA,238,dnr_lab,us/cm
470600,237,257.2083333,248,NA,257.2083333,dnr_lab,us/cm
479300,50,NA,51,NA,50,dnr_field,us/cm
487500,246,273.3333333,270,NA,273.3333333,dnr_lab,us/cm
494200,190,222,224,NA,222,dnr_lab,us/cm
498800,190,194.1428571,218,NA,194.1428571,dnr_lab,us/cm
499000,231.8888889,NA,270,NA,231.8888889,dnr_field,us/cm
501200,73.4125,72.16666667,63,NA,72.16666667,dnr_lab,us/cm
501700,NA,NA,220,174,220,edi,us/cm
502000,NA,NA,33,NA,33,edi,us/cm
502300,NA,180,218,NA,180,dnr_lab,us/cm
