FID,TNMID,GNIS_ID,AreaAcres,AreaSqKm,States,HUC8,Name,Ha,Pct_In_NWI,Ha_In_NWI,LAT,Lon,ZoneID
179,{8F48101E-393E-4960-9A96-6097A52EE9D3},0.000000000000000,624243.000000000000000,2526.276015309999800,"CN,ME",01010010,Becaguimec Stream-Saint John River,49552.613660900002000,99.963129903899997,49534.343213799999000,46.534127258200002,-67.885706805300003,HU8_603
180,{0AAA67C4-02CF-462F-881A-32F81BD4C8EE},0.000000000000000,1055564.000000000000000,4271.809905899999600,"CN,ME",01050001,St. Croix,257923.436694000000000,99.916148406399998,257707.159587000000000,45.341281506800001,-67.697872118600003,HU8_9
181,{885B0845-FC1F-4FEF-8B88-AE045308A470},0.000000000000000,2388662.000000000000000,9666.783781520000000,"CN,ME",01050004,Passamaquoddy Bay-Bay of Fundy,134387.707131000000000,99.999999879000001,134387.680530999990000,44.891995461100002,-67.196267720700007,HU8_26
182,{59A8D675-7AF6-4F3D-A194-38655C21526C},0.000000000000000,1380015.000000000000000,5584.844091760000100,ME,01040002,Lower Androscoggin,558484.409129000040000,100.000000000000000,558484.409131000050000,44.377321584699999,-70.504946484900003,HU8_17
183,{01DBC6DB-D825-41FA-9107-C4FC1E781745},0.000000000000000,463401.000000000000000,1875.357383960000100,MI,04030107,Michigamme,187535.738312000000000,100.000000000000000,187535.738380000000000,46.370241932399999,-88.149433629200004,HU8_152
184,{AC7F8A5F-0FBD-4A0B-BA59-2FC189A2AE8F},0.000000000000000,652322.000000000000000,2639.910561560000100,MI,04030109,Cedar-Ford,263991.055929000020000,100.000000000000000,263991.056079000000000,45.774554683900000,-87.511204745800001,HU8_162
185,{CBEE29FA-F354-4A14-82F0-F788CF655EB6},0.000000000000000,593652.000000000000000,2402.475485259999900,MI,04030110,Escanaba,240247.548164999990000,100.000000000000000,240247.548465000000000,46.244996633400000,-87.559813624200004,HU8_153
186,{7565FA36-71CB-47B0-9D54-B3311D829F85},0.000000000000000,411077.000000000000000,1663.606296539999900,MI,04030111,Tacoosh-Whitefish,166360.630115999990000,100.000000000000000,166360.629724000000000,46.066648190999999,-87.025521533000003,HU8_154
187,{CC18C619-98B5-4AAB-BA90-55B8DC495D45},0.000000000000000,371482.000000000000000,1503.368701919999900,MI,04030112,Fishdam-Sturgeon,150336.870421000000000,100.000000000000000,150336.870215000000000,45.944444366200003,-86.645782218899996,HU8_155
188,{2B38D304-C5A5-412F-990D-D28FBE62A6C0},0.000000000000000,389143.000000000000000,1574.840337890000000,MI,04050002,Black-Macatawa,157484.035089999990000,100.000000000000000,157484.034264999990000,42.583161931699998,-86.112123875099996,HU8_185
