wiscwaterl,clusterid,SiteID,SiteType,Latitude,Longitude,US_L3NAME,HUC4,HUC4_Name,HUC4_hectares,HUC8,HUC8_Name,HUC8_hectares,HUC12,HUC12_Name,HUC12_hectares
73,3,0.000000,Well,45.934960,-88.991790,Northern Lakes and Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030108,Menominee,593867.98624700000,040301080201,North Branch Pine River,9037.81882156000
74,1,0.000000,Well,43.710540,-88.990390,Southeastern Wisconsin Till Plains,0403,Northwestern Lake Michigan,4847042.26571000000,04030201,Upper Fox,419627.72232700000,040302010402,Little Green Lake-Grand River,5918.15787700000
75,1,0.000000,Well,43.836370,-89.082620,Southeastern Wisconsin Till Plains,0403,Northwestern Lake Michigan,4847042.26571000000,04030201,Upper Fox,419627.72232700000,040302011102,Mill Race-Fox River,9452.33191420000
76,1,0.000000,Well,42.740837,-89.829846,Driftless Area,0709,Rock,2827592.80343000000,07090003,Pecatonica,486956.55851700000,070900030803,Dougherty Creek,7240.51334159000
77,1,0.000000,Well,42.930823,-90.653738,Driftless Area,0706,Upper Mississippi-Maquoketa-Plum,2225654.25825000000,07060003,Grant-Little Maquoketa,289831.62012400000,070600030104,Headwaters Grant River,10634.40193050000
78,1,0.000000,Well,42.879432,-91.072628,Driftless Area,0706,Upper Mississippi-Maquoketa-Plum,2225654.25825000000,07060003,Grant-Little Maquoketa,289831.62012400000,070600030702,Sandy Creek,5139.60961882000
79,1,0.000000,Well,42.879432,-91.072628,Driftless Area,0706,Upper Mississippi-Maquoketa-Plum,2225654.25825000000,07060003,Grant-Little Maquoketa,289831.62012400000,070600030702,Sandy Creek,5139.60961882000
80,1,0.000000,Well,42.879432,-91.072628,Driftless Area,0706,Upper Mississippi-Maquoketa-Plum,2225654.25825000000,07060003,Grant-Little Maquoketa,289831.62012400000,070600030702,Sandy Creek,5139.60961882000
81,1,0.000000,Well,42.945552,-90.172068,Driftless Area,0709,Rock,2827592.80343000000,07090003,Pecatonica,486956.55851700000,070900030102,Headwaters Mineral Point Branch,8551.06592222000
82,4,0.000000,Well,43.161940,-89.940680,Driftless Area,0707,Wisconsin,3090691.10055000000,07070005,Lower Wisconsin,611638.46347800000,070700050705,Coon Rock-Mill Creek,4710.56682202000
83,1,0.000000,Well,42.892232,-88.589546,Southeastern Wisconsin Till Plains,0709,Rock,2827592.80343000000,07090002,Middle Rock,474326.13274000000,070900020101,Mud Creek-Scuppernong Creek,13438.91485530000
84,2,0.000000,Well,46.003750,-89.614017,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
85,2,0.000000,Well,46.003567,-89.626850,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
86,2,0.000000,Well,46.000700,-89.609000,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
87,2,0.000000,Well,46.000717,-89.609267,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
88,2,0.000000,Well,46.000583,-89.619283,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
89,2,0.000000,Well,46.000633,-89.619467,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
90,3,0.000000,Well,46.007617,-89.659583,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
91,3,0.000000,Well,46.007917,-89.659783,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
92,2,0.000000,Well,46.004000,-89.614367,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
93,3,0.000000,Well,46.002817,-89.597367,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
94,2,0.000000,Well,46.001333,-89.623433,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
95,2,0.000000,Well,45.999267,-89.611750,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
96,2,0.000000,Well,45.999383,-89.611550,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
97,2,0.000000,Well,46.001450,-89.608850,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
98,2,0.000000,Well,46.001200,-89.608800,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
99,3,0.000000,Well,46.006517,-89.667683,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
100,2,0.000000,Well,46.005033,-89.614833,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
101,3,0.000000,Well,46.012083,-89.659150,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
102,2,0.000000,Well,46.004967,-89.615033,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
103,3,0.000000,Well,46.025750,-89.587383,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
104,2,0.000000,Well,45.997517,-89.611100,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
105,2,0.000000,Well,46.004717,-89.614500,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
106,2,0.000000,Well,46.003450,-89.626567,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
107,1,0.000000,Well,42.537156,-87.843217,Central Corn Belt Plains,0404,Southwestern Lake Michigan,514722.40205600000,04040002,Pike-Root,108355.25329000000,040400020401,City of Kenosha-Frontal Lake Michigan,7676.49596860000
108,3,0.000000,Well,45.046500,-89.112360,North Central Hardwood Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030202,Wolf,965007.51462200000,040302020501,Mattoon Creek-West Branch Red River,7085.53494271000
109,3,0.000000,Well,45.434270,-89.187890,Northern Lakes and Forests,0403,Northwestern Lake Michigan,4847042.26571000000,04030202,Wolf,965007.51462200000,040302020202,Hunting River,9386.16822596000
110,1,0.000000,Well,42.581948,-90.075958,Driftless Area,0709,Rock,2827592.80343000000,07090003,Pecatonica,486956.55851700000,070900030901,Wolf Creek,7351.12495898000
111,3,0.000000,Well,46.011000,-89.685183,Northern Lakes and Forests,0705,Chippewa,2470307.88753000000,07050002,Flambeau,305057.48676600000,070500020105,Trout Lake,11251.97779760000
112,1,0.000000,Well,42.936819,-88.028967,Southeastern Wisconsin Till Plains,0404,Southwestern Lake Michigan,514722.40205600000,04040002,Pike-Root,108355.25329000000,040400020301,Village of Hales Corner-Root River,8112.22718586000
113,1,0.000000,Well,43.116820,-87.976730,Southeastern Wisconsin Till Plains,0404,Southwestern Lake Michigan,514722.40205600000,04040003,Milwaukee,227651.26132400000,040400030605,Lincoln Creek,5638.56003878000
