FID_1,wiscwaterl,SiteID,clustid1,clustid2,clustid3,SiteType,Latitude,Longitude,NEAR_DIST,Count_,Cap_GPD
37,38.00000000000,2496300,3.00000000000,2.00000000000,4.00000000000,Lake,45.74605938000,-91.91684230000,445.99787006200,2,1476000
38,39.00000000000,250000.4,2.00000000000,4.00000000000,3.00000000000,Lake,44.17482414000,-89.17396074000,826.01264038200,5,5882400
39,40.00000000000,758300,2.00000000000,1.00000000000,1.00000000000,Lake,42.55807230000,-88.54260000000,1594.64319415000,5,2851200
40,41.00000000000,761700,2.00000000000,1.00000000000,1.00000000000,Lake,42.81334964000,-88.14203250000,1157.36641497000,2,1656000
41,42.00000000000,778300.1,2.00000000000,1.00000000000,1.00000000000,Lake,43.04750000000,-88.47972220000,1371.84256236000,3,2116800
42,43.00000000000,802600,2.00000000000,1.00000000000,1.00000000000,Lake,42.95416667000,-89.27972220000,243.70869852500,5,1317600
43,44.00000000000,803700,2.00000000000,1.00000000000,1.00000000000,Lake,43.00888889000,-89.30527780000,1518.77746053000,3,2966400
44,45.00000000000,804600,2.00000000000,1.00000000000,1.00000000000,Lake,43.06332970000,-89.39706360000,446.40907458800,6,10670400
45,46.00000000000,805400,2.00000000000,1.00000000000,1.00000000000,Lake,43.09832875000,-89.40789690000,2279.37333894000,1,3132000
46,47.00000000000,808700,2.00000000000,1.00000000000,1.00000000000,Lake,42.85750645000,-88.94094290000,2179.76034309000,3,489600
47,48.00000000000,968800.1,3.00000000000,2.00000000000,4.00000000000,Lake,45.95013889000,-89.05425000000,7527.00772633000,0,0
48,49.00000000000,980900.1,2.00000000000,1.00000000000,3.00000000000,Lake,43.42638889000,-89.72777780000,516.57106179200,7,3924000
49,50.00000000000,985000,3.00000000000,2.00000000000,4.00000000000,Lake,44.11886270000,-89.47762100000,653.20993377500,10,15984000
50,51.00000000000,994900,3.00000000000,2.00000000000,4.00000000000,Lake,44.19563889000,-89.41747220000,872.07301375500,22,29448000
51,52.00000000000,994900.4,3.00000000000,2.00000000000,4.00000000000,Lake,44.19343292000,-89.41796271000,1099.19080809000,23,31176000
52,53.00000000000,AD-17/06E/08-0076,2.00000000000,1.00000000000,1.00000000000,Well,43.96670000000,-89.81727000000,421.94195515500,8,5270400
53,54.00000000000,AS-43/02W/21-0054,1.00000000000,3.00000000000,2.00000000000,Well,46.18579000000,-90.62518000000,6712.52922577000,0,0
54,55.00000000000,BN-25/20E/14-0890,2.00000000000,1.00000000000,1.00000000000,Well,44.64249000000,-88.03844000000,1589.78666790000,2,1944000
55,56.00000000000,BR-34/10W/22-0153,1.00000000000,3.00000000000,2.00000000000,Well,45.40829000000,-91.59239000000,2725.40672462000,0,0
56,57.00000000000,BT-39/16W/17-0002,1.00000000000,3.00000000000,2.00000000000,Well,45.87379000000,-92.36564000000,661.46568850000,2,1008000
57,58.00000000000,CH-28/07W/17-0142,3.00000000000,2.00000000000,4.00000000000,Well,44.91079000000,-91.26599000000,3193.55523948000,0,0
58,59.00000000000,CO-12/09E/27-0620,2.00000000000,1.00000000000,1.00000000000,Well,43.48915000000,-89.41651000000,103.52304634400,8,1785600
59,60.00000000000,CR-09/06W/27-0059,2.00000000000,1.00000000000,1.00000000000,Well,43.22554000000,-91.07624000000,2412.76342347000,1,102240
60,61.00000000000,D3,1.00000000000,3.00000000000,2.00000000000,Well,46.03360000000,-89.65306700000,5324.00627831000,0,0
61,62.00000000000,DG-11/13E/23-0081,2.00000000000,1.00000000000,1.00000000000,Well,43.40425000000,-88.92394000000,399.04923748300,1,720000
62,63.00000000000,DN-05/08E/06-0927,2.00000000000,1.00000000000,1.00000000000,Well,42.94139000000,-89.59429000000,4818.40207819000,0,0
63,64.00000000000,DN-06/08E/15-1289,2.00000000000,1.00000000000,1.00000000000,Well,42.99972220000,-89.52705560000,474.74059377400,5,5846400
64,65.00000000000,DN-07/08E/06-1136,2.00000000000,1.00000000000,1.00000000000,Well,43.11068000000,-89.59195000000,3649.74013774000,0,0
65,66.00000000000,DN-07/09E/19-0064,2.00000000000,1.00000000000,1.00000000000,Well,43.07428000000,-89.48017000000,957.26557396200,4,9252000
66,67.00000000000,DN-07/09E/23-1297,2.00000000000,1.00000000000,1.00000000000,Well,43.06837220000,-89.39280000000,716.56147257500,6,10526400
67,68.00000000000,DN-09/06E/29-0083,2.00000000000,1.00000000000,1.00000000000,Well,43.22000000000,-89.79806000000,878.39922074600,5,8064000
68,69.00000000000,DN-09/11E/34-1355,2.00000000000,1.00000000000,1.00000000000,Well,43.20898000000,-89.17577000000,148.98482854300,5,3931200
69,70.00000000000,DS-44/12W/01-0327,1.00000000000,4.00000000000,2.00000000000,Well,46.32244000000,-91.81186000000,4901.69229306000,0,0
70,71.00000000000,FL-14/17E/06-0659,2.00000000000,1.00000000000,1.00000000000,Well,43.70860000000,-88.52201000000,2456.07346447000,1,1440000
71,72.00000000000,FR-34/14E/03-0656,1.00000000000,3.00000000000,2.00000000000,Well,45.45722000000,-88.72889000000,5696.74706582000,0,0
