WBIC,WiscID,Name.x,County,lat,long,Type,mg_average,ca_average,unit
2963800,1019,Big Lake,Vilas,46.21022679,-89.4337564,drainage,4.3,17.76,mg
2109600,622,Red Cedar Lake,Barron,45.58856857,-91.5904432,drainage,5.7,18,mg
197600,136,Round Lake,Menominee,44.8910962,-88.5639929,seepage,8.1375,18.875,mg
2706300,917,Lower McKenzie Lake,Washburn,45.98383278,-92.0221278,drainage,5.35,19,mg
2112800,624,Balsam Lake,Washburn,45.6519004,-91.5829431,drainage,6.6,20,mg
501700,230,King Lake,Forest,45.42107657,-88.427888,seepage,8.1,21,mg
2620600,847,Balsam Lake,Polk,45.4649577,-92.3954736,drainage,7.625,21.25,mg
182100,99,Hills Lake,Waushara,44.15081177,-89.1578946,seepage,12.63636364,22.54545455,mg
652200,259,Bass Lake,Florence ,45.77842727,-88.33493294,drainage,10.59,23.2,mg
2685200,902,Spooner Lake,Washburn,45.82911498,-91.8110077,drainage,6.2,23.6,mg
454200,219,Moshawquit Lake,Menominee,44.8977655,-88.4995483,drainage,11.5,23.625,mg
2627400,854,Big Round Lake,Polk,45.51051125,-92.3018585,drainage,8.63,23.73,mg
8900,3,Forest Lake,Fond Du Lac,43.6088845,-88.1673186,seepage,14.6875,25.7125,mg
341000,181,Pywaosit Lake,Menominee,44.8949867,-88.5242706,drainage,14.16666667,26,mg
2336800,689,Wildcat Lake,Vilas ,46.17292317,-89.61695315,drainage,6.05,26.28,mg
2336800,1045,Wildcat Lake,Vilas,46.17292317,-89.61695315,drainage,6.05,26.28,mg
1670030,521,"WAZEE LAKE AT DEEP HOLE NEAR BLACK RIVER FALLS, WI",Jackson,44.2861111,-90.7144444,seepage,9.4,27.7,mg
340900,180,Sapokesick Lake,Menominee,44.8999863,-88.5337151,drainage,13.5,29,mg
339900,178,Skice Lake,Menominee,44.8916501,-88.603993,drainage,18,31.5,mg
740400,279,Booth Lake,Walworth,42.80001387,-88.4300969,seepage,18.33333333,31.5,mg
340500,179,Blacksmith Lake,Menominee,44.90026287,-88.5626041,drainage,16.125,31.625,mg
525900,238,Lake Noquebay,Marinette,45.25303089,-87.9192741,drainage,13.75,32.16666667,mg
117000,69,Twin Lakes,Marquette,43.9105303,-89.5898459,seepage,19.1,33.7,mg
758300,302,Geneva Lake,Walworth,42.5580723,-88.5426,drainage,33,33.83333333,mg
753800,297,Potter Lake,Walworth,42.8180699,-88.3445386,drainage,21.705,34.78,mg
25100,5,Little Cedar Lake,Washington,43.3802787,-88.2292614,drainage,32.09285714,36.10714286,mg
744200,293,Powers Lake,Kenosha,42.5461291,-88.2995367,drainage,31.58378378,36.46756757,mg
779800,324,Silver Lake,Waukesha,43.07667407,-88.492599,seepage,33.4,36.7,mg
164300,88,Lake Montello,Marquette,43.79664548,-89.3328972,drainage,19,37,mg
339600,177,La Motte Lake,Menominee,44.8847057,-88.60343739,drainage,17.375,37,mg
743000,290,Lake Mary,Kenosha,42.5244628,-88.253424,drainage,38.33333333,38,mg
742800,289,Elizabeth Lake,Kenosha,42.51418508,-88.2648133,drainage,35.16666667,38.5,mg
