Year,WBIC,level
1964,2630200,925.9308562594458
1965,2630200,944.1809682733609
1966,2630200,930.2011275343366
1967,2630200,933.148194457761
1968,2630200,967.2732053706611
1969,2630200,947.3572508872444
1970,2630200,963.5590334259089
1971,2630200,972.3295231625033
1972,2630200,977.9534287192762
1973,2630200,977.0415197895987
1974,2630200,955.1321509007039
1975,2630200,970.7413014132901
1976,2630200,930.4601946234269
1977,2630200,952.3566876262369
1978,2630200,953.071375217932
1979,2630200,952.0206088365975
1980,2630200,957.4953721753502
1981,2630200,957.319911427422
1982,2630200,972.4920046403109
1983,2630200,981.7685315540024
1984,2630200,991.436524202647
1985,2630200,1009.2133126976552
1986,2630200,1014.3055929266031
1987,2630200,996.5217543943039
1988,2630200,970.3314585408166
1989,2630200,959.1832217078958
1990,2630200,968.9962827863669
1991,2630200,1001.3563065704737
1992,2630200,994.5874017295816
1993,2630200,1002.0611682172992
1994,2630200,1004.3737771982414
1995,2630200,1020.5113363575997
1996,2630200,1030.3204452284263
1997,2630200,1028.638440030313
1998,2630200,1027.1512971544244
1999,2630200,1030.4423657355333
2000,2630200,1029.8045561392266
2001,2630200,1046.0980913057463
2002,2630200,1070.7122298594745
2003,2630200,1056.7757319536013
2004,2630200,1063.2579958835222
2005,2630200,1060.0097698508764
2006,2630200,1026.7755876409676
2007,2630200,1005.0877362992768
2008,2630200,992.8292575105115
2009,2630200,966.435391553151
2010,2630200,971.3049563298001
2011,2630200,954.2414956839791
2012,2630200,926.6154151615989
2013,2630200,917.9778172152579
2014,2630200,936.8462425269846
2015,2630200,953.528708421903
1948,501200,1000
1949,501200,981.7672593659693
1950,501200,973.8363336277935
1951,501200,991.2447643279717
1952,501200,975.7096674024706
1953,501200,967.4764364687331
1954,501200,969.4279115442092
1955,501200,945.7417991274463
1956,501200,933.8902202873792
1957,501200,922.1789678809779
1958,501200,896.9000987967001
1959,501200,906.1678016074954
1960,501200,911.8800597901936
1961,501200,906.5836989925199
1962,501200,898.7401267575095
1963,501200,871.6345327464758
1964,501200,868.5836127250238
1965,501200,871.2170812686037
1966,501200,855.826660146786
1967,501200,860.3341691906337
1968,501200,877.5012733222632
1969,501200,866.2099062152495
1970,501200,869.5047583446776
1971,501200,874.8774733860931
1972,501200,887.185448769307
1973,501200,893.7975982301447
1974,501200,887.5455457332002
1975,501200,881.9698126852307
1976,501200,851.0689132119021
1977,501200,866.2897407214986
1978,501200,870.2701251700155
1979,501200,881.4718620743972
1980,501200,882.4334807805259
1981,501200,880.0804577549069
1982,501200,895.2258630015051
1983,501200,904.8327669025657
1984,501200,904.9460923626534
1985,501200,922.0746041835253
1986,501200,915.3203504455407
1987,501200,903.2498297703609
1988,501200,891.1352888752001
1989,501200,861.7493319392817
1990,501200,866.9756491106992
1991,501200,883.2043842333854
1992,501200,883.2952714037538
1993,501200,879.0813930514169
1994,501200,876.6515424239556
1995,501200,883.1262489559792
1996,501200,899.7176584664063
1997,501200,902.4033080753659
1998,501200,880.3777542242038
1999,501200,893.5505606678068
2000,501200,893.519593993299
2001,501200,892.5178162913351
2002,501200,904.9162993399848
2003,501200,893.0495643590298
