dat$Date,dat$WBIC,2.5%,50%,97.5%
1989-11-28,1858200,2100.4285897644695,2156.3777646129984,2201.705718999392
1989-11-29,1858200,2101.8324238515743,2158.0403211343732,2203.3363186114166
1989-11-30,1858200,2100.520970642012,2156.7267255545867,2201.90827827653
1989-12-01,1858200,2098.918578606664,2154.9803873280334,2200.3351368631866
1989-12-02,1858200,2096.9832756469755,2153.214206366818,2198.405224852921
1989-12-03,1858200,2095.341537087532,2151.6391955025715,2196.8534619944726
1989-12-04,1858200,2094.1219414767265,2150.4554940593043,2195.60057768803
1989-12-05,1858200,2092.574125631224,2148.8010923224383,2193.9684268467377
1989-12-06,1858200,2090.639586951208,2146.814046942908,2191.934401276684
1989-12-07,1858200,2088.9348079031924,2145.0480382301685,2190.1990913874433
1989-12-08,1858200,2087.472132065607,2143.3455038796196,2188.8009801078406
1989-12-09,1858200,2086.058065887934,2141.8954191783896,2187.2047722802217
1989-12-10,1858200,2084.3758293955025,2140.0940930441666,2185.4130693611137
1989-12-11,1858200,2082.6472986988347,2138.496039061002,2183.723031021833
1989-12-12,1858200,2080.856962253135,2136.795202657644,2181.9313781826268
1989-12-13,1858200,2079.1027111854733,2135.0134380235377,2180.1951853995542
1989-12-14,1858200,2077.4371765274545,2133.196512863605,2178.328361078069
1989-12-15,1858200,2076.7813439286883,2132.522686384875,2177.781791537401
1989-12-16,1858200,2075.4078603501766,2131.0783413917807,2176.384332160916
1989-12-17,1858200,2074.142955843312,2129.642818511842,2175.0718827287374
1989-12-18,1858200,2072.196953713832,2127.5707011627746,2173.006421102259
1989-12-19,1858200,2070.081801933547,2125.5851704812894,2171.113109353769
1989-12-20,1858200,2068.2813328938223,2123.705464564524,2169.188870701514
1989-12-21,1858200,2066.501465548945,2121.854655287958,2167.2930790204896
1989-12-22,1858200,2064.6436100470023,2119.9732157992876,2165.3301874683007
1989-12-23,1858200,2062.707728109448,2117.902476550279,2163.3123154369523
1989-12-24,1858200,2060.8576603370093,2116.10264898746,2161.446670960203
1989-12-25,1858200,2058.678384804411,2113.9548790295376,2159.272702980155
1989-12-26,1858200,2057.122492421264,2112.4129031645716,2157.600232517594
1989-12-27,1858200,2059.185994546432,2114.610605091453,2159.763864206153
1989-12-28,1858200,2057.5647806821953,2112.701306828346,2158.0200577855985
1989-12-29,1858200,2056.557566290553,2111.6660541276706,2156.9645255536566
1989-12-30,1858200,2054.996037916593,2109.9672751288354,2155.330833209532
1989-12-31,1858200,2053.8471527321944,2108.9275460408307,2154.280921450622
1990-01-01,1858200,2052.851984526431,2107.8647940803694,2153.0566086404033
1990-01-02,1858200,2051.7951882468915,2106.7031577529424,2152.0796669926935
1990-01-03,1858200,2050.1298445800744,2105.0520580148223,2150.4940958155885
1990-01-04,1858200,2048.442620879808,2103.3457258690014,2148.915288611275
1990-01-05,1858200,2046.9890145488657,2101.7440203258448,2147.4649235310512
1990-01-06,1858200,2045.5641190356155,2100.3798394759847,2146.0382646247185
1990-01-07,1858200,2044.2276964014718,2098.93944825415,2144.5523633287216
1990-01-08,1858200,2042.5955675125458,2097.3954289558264,2143.0012244083277
1990-01-09,1858200,2041.0073614067417,2095.858393232924,2141.6288455043614
1990-01-10,1858200,2039.5379043690377,2094.41931436696,2140.107288351692
1990-01-11,1858200,2038.073603746395,2092.9949847545386,2138.5741086560497
1990-01-12,1858200,2036.762957913422,2091.6493738673416,2137.176294821872
1990-01-13,1858200,2035.2347783621085,2090.2238408998,2135.814575216971
1990-01-14,1858200,2033.8123512424063,2088.846291037079,2134.462862840793
1990-01-15,1858200,2032.2320125430697,2087.308664854476,2132.939466150715
1990-01-16,1858200,2030.5701877086242,2085.7308674919796,2131.2895863309896
1990-01-17,1858200,2029.0983908197545,2084.1005864850113,2129.7142457770133
1990-01-18,1858200,2027.4477938094738,2082.5857673748333,2128.045573580191
1990-01-19,1858200,2026.091204755221,2081.304224198315,2126.7479068616794
1990-01-20,1858200,2024.7413204692657,2079.74330326883,2125.3695082083186
1990-01-21,1858200,2023.4901128623,2078.2881885868387,2123.9932577922445
1990-01-22,1858200,2022.1811856450777,2076.9221801623335,2122.5916415739966
1990-01-23,1858200,2023.7049381415636,2078.433089346494,2124.134119600755
1990-01-24,1858200,2022.4345572068596,2077.0069921448176,2122.8154661889776
1990-01-25,1858200,2025.938198632819,2080.5159448302265,2126.3294606929494
1990-01-26,1858200,2025.2649551608843,2079.8919775498916,2125.672462039683
