WBIC,LakeName,US_L3NAME,ECO_LANDSC,HUC12_CODE,lat,long,SHAPE_AREA,SHAPE_LEN,Area,MaxDepth,MeanDepth,R_AREA,R_PERM,R_SLOPE,R_DARCY,R_LU06_11,R_LU06_21,R_LU06_22,R_LU06_41,R_LU06_42,R_LU06_43,R_LU06_82,R_LU06_90,R_LU06_95,cond,mg_average,ca_average,lake_MEAN,watershed_MIN,elevation_difference,mean_ann_wdrl_gals,slope2,slope3,slope4,slope5,slopenearest
1844500,Dells Lake,Northern Lakes and Forests,North Central Forest,070500010104,46.1796951299999,-90.98620431,443087.16255,4435.48550769,109,42,12,0.2375,431,5.263,-588.7,18.7000008,2.8599999,0,11.75,24.8400002,25.4300003,0,10.3999996,0,26,NA,NA,449.91560903,449.074981689,19.43973765000004,0,0.00350004998169786,0.00341076943452271,0.00334345778738127,0.00341076943452271,0.00350004998169786
2317900,Middle Sugarbush Lake,Northern Lakes and Forests,Northern Highland,070500020202,46.01806341,-89.9129919599999,431161.473440999,4961.87857927,107,22,NA,0.2557,1032,4.8839998,-173.2,25.8099995,3.5999999,0,22.1700001,3.05,9.54,0,35.8199997,0,13,0.33,0.98,488.032204816,487.884735107,12.222067645000038,0,-7.89582341623502e-4,0.00185143390118699,0.00173214733255896,0.00185143390118699,0.00173214733255896
740400,Booth Lake,Southeastern Wisconsin Till Plains,Southeast Glacial Plains,071200060203,42.80001387,-88.4300968999999,477633.648134,2976.71007508,118,24,12,0.1688,909,10.9610004,-132.4,18.7199993,2.9000001,13.5699997,23.7600002,0,0.12,1.96,23.2199993,8.29,309,18.33333333,31.5,247.487998809,247.127548218,19.458595428999985,0,9.26319685155698e-4,-0.00369939199713347,7.8044977101677e-4,-0.00369939199713347,9.26319685155698e-4
417300,Ada Lake,Northern Lakes and Forests,North Central Forest,040301040201,45.37177528,-88.73651189,302253.467099,2441.5786342,75,65,16,0.1514,146,6.1859999,608.1,11.5600004,8.8500004,0,10.6999998,0,0,0,68.8899994,0,46.5,NA,NA,500.236444735,500.112121582,51.349187588999996,0,0.0210049036793579,0.00892399059479905,0.00718195048086522,0.00892399059479905,0.0210049036793579
1020600,Sunday Lake,Northern Lakes and Forests,Northern Highland,070700010806,45.88887204,-89.8542439999999,352133.733385,4717.30685610999,87,43,NA,0.2375,1032,5.5679998,-48.7,16.3400002,5.6799998,3.54,37.7700005,0,11.1999998,0,25.4300003,0.04,17,0.615,1.78,484.080303248,482.498718262,25.558582249999972,0,0.00277454623765592,0.00366071679415905,0.00118756248340519,0.00366071679415905,0.00277454623765592
2313100,Little Pike Lake,Northern Lakes and Forests,Northern Highland,070500020305,46.15457957,-90.0894720099999,388411.771945999,3362.87184067,96,20,11,0.1921,492.3999939,4.0890002,-116.3,24.0499992,4.5799999,0,28.3700008,0.89,15.9799995,0,24.3600006,0,110,3.88,16.2,483.131315564,482.342590332,14.363252307000039,11309307.1428571,4.68787247407231e-4,2.79352312565592e-4,1.06408095112872e-4,2.79352312565592e-4,4.68787247407231e-4
198800,Silver Lake,North Central Hardwood Forests,Forest Transition,040302021604,44.4647945999999,-89.1407206599999,286329.624099,2006.74588369999,71,17,7,0.1279,530,3.7850001,18.1999999999999,22.0499992,18.0599995,4.54,4.54,3.3599999,4.0700002,10.2399998,4.9299998,0,185.4863636,NA,NA,282.252813095,282.231140137,30.276727920999974,0,-6.77200336967818e-4,0.00292836610065415,-1.43163909136305e-4,0.00292836610065415,-1.43163909136305e-4
2264200,Twin Lake,Northern Lakes and Forests,Northern Highland,070500030204,45.95620325,-90.07377203,64815.648778,1085.60852585,16,16,7,0.0731,1032,4.8319998,-277.3,16,10.1199999,0,7.52,0,12.5900002,0,51.8499985,0,32.2,NA,NA,479.183650054,479.100280762,25.703953705999993,0,0.00412401272941056,0.00102783549484442,0.00239057303562618,0.00102783549484442,0.00412401272941056
418e3,Bear Paw Lake,Northern Lakes and Forests,Northeast Sands,040301040205,45.18138252,-88.3940994799999,192032.920455,2925.80012265,47,20,NA,0.1726,1256,7.618,-205.8,8.46,3.1300001,0,35.2299995,1.62,0.52,0,51.0400009,0,59.81764706,NA,NA,281.634422759,281.352294922,29.69907333499998,3950318.75,0.00310083813070186,0.00223496966192626,0.00432940143832371,0.00223496966192626,0.00223496966192626
2734700,Lake Knotting,Northern Lakes and Forests,North Central Forest,040103020604,46.27397611,-91.1155403399999,307421.679265999,2756.44234821,76,15,NA,0.1631,431,2.572,-242.9,18.6399994,5.0300002,0,31.1499996,3.5599999,23.1100006,0,12.0799999,0,24,0.25,1.067,432.211540736,432.165039063,13.75369974299997,0,0.00220142312948806,0.0124090742391035,0.00136668797561339,0.0124090742391035,0.00220142312948806
