LakeID,Date,precipCMDV,Value
45100,1965/09,155.4956667,1898.904
45100,1965/10,172.9149167,1922.272
45100,1965/11,171.79275,1914.144
45100,1965/12,178.546,1908.048
45100,1966/01,155.5038333,2020.824
45100,1966/02,142.8968333,2185.416
45100,1966/03,152.4684167,2269.236
45100,1966/04,141.9016667,2284.984
45100,1966/05,142.8404167,2298.192
45100,1966/06,128.07175,2279.2944
45100,1966/07,140.6056667,2245.868
45100,1966/08,176.7385,2169.5664
45100,1966/09,159.871,2117.1408
45100,1966/10,121.876,2028.444
45100,1966/11,103.5986667,1985.772
45100,1966/12,105.2914167,1984.8576
45100,1967/01,87.99525,2054.352
45100,1967/02,60.83925,2072.64
45100,1967/03,24.87133333,2075.688
45100,1967/04,55.48883333,2125.472
45100,1967/05,59.04116667,2168.652
45100,1967/06,144.8463333,2139.696
45100,1967/07,128.0540833,2107.9968
45100,1967/08,113.8740833,2003.7552
45100,1967/09,80.57333333,1886.204
45100,1967/10,135.9619167,1822.704
45100,1967/11,127.0120833,1897.6848
45100,1967/12,100.8369167,1891.284
45100,1968/01,60.44475,2042.16
45100,1968/02,14.037,1905
45100,1968/03,-38.99491667,1877.568
45100,1968/04,9.960666667,1880.108
45100,1968/05,38.21758333,1906.524
45100,1968/06,123.35025,1930.4
45100,1968/07,136.1355833,1959.864
45100,1968/08,123.1711667,1860.296
45100,1968/09,151.4096667,1790.192
45100,1968/10,119.5956667,1744.98
45100,1968/11,96.10441667,1704.848
45100,1968/12,106.5796667,1704.34
45100,1969/01,105.204,1705.6608
45100,1969/02,41.79225,1716.6336
45100,1969/03,11.15191667,1752.6
45100,1969/04,20.18866667,1837.944
45100,1969/05,33.73775,1882.4448
45100,1969/06,150.48775,1873.3008
45100,1969/07,170.9694167,1924.5072
45100,1969/08,116.4789167,1838.96
45100,1969/09,103.11825,1725.7776
45100,1969/10,137.8495,1695.2976
45100,1969/11,102.2114167,1686.56
45100,1969/12,80.008,1661.16
45100,1970/01,36.47833333,1642.872
45100,1970/02,-19.72316667,1661.7696
45100,1970/03,-56.03575,1649.5776
45100,1970/04,-79.21475,1619.25
45100,1970/05,-13.9425,1594.104
45100,1970/06,-14.84058333,1565.4528
45100,1970/07,-8.127416667,1472.184
45100,1970/08,-19.47041667,1310.64
45100,1970/09,91.56108333,1326.896
45100,1970/10,101.9289167,1292.86
45100,1970/11,112.9525833,1356.9696
45100,1970/12,98.18,1376.68
45100,1971/01,77.24958333,1408.176
45100,1971/02,91.93083333,1457.96
45100,1971/03,79.727,1530.096
45100,1971/04,62.93616667,1599.5904
45100,1971/05,49.14933333,1665.224
45100,1971/06,72.23491667,1644.7008
45100,1971/07,75.776,1556.3088
45100,1971/08,88.17933333,1482.852
45100,1971/09,80.62066667,1431.3408
45100,1971/10,78.8745,1417.828
45100,1971/11,103.7090833,1414.8816
45100,1971/12,148.2185,1466.088
45100,1972/01,98.43708333,1548.384
45100,1972/02,55.55175,1542.288
45100,1972/03,45.18783333,1609.344
45100,1972/04,31.98783333,1669.288
45100,1972/05,34.38158333,1708.186286
45100,1972/06,39.69541667,1712.976
45100,1972/07,84.53233333,1745.742
45100,1972/08,179.84,1848.3072
45100,1972/09,279.6029167,1883.664
45100,1972/10,288.42875,1847.6976
45100,1972/11,254.7035833,1877.568
45100,1973/01,234.67675,1895.856
45100,1973/02,206.3024167,2121.408
45100,1973/03,200.5084167,2147.316
45100,1973/04,259.81175,2274.4176
45100,1973/05,362.3248333,2380.996
45100,1973/06,373.1426667,2467.0512
45100,1973/07,347.7648333,2393.2896
45100,1973/08,348.8835,2382.52
45100,1973/09,377.28475,2335.3776
45100,1973/10,416.0445,2342.6928
45100,1973/11,394.7485833,2335.9872
45100,1974/01,397.73925,2465.832
45100,1974/05,399.29125,2734.437
45100,1974/06,439.49375,2766.6696
45100,1974/07,468.3243333,2735.228308
45100,1974/08,481.22725,2636.225032
45100,1974/09,453.32775,2541.524
45100,1974/10,435.7599167,2479.105548
45100,1974/11,418.2555,2448.7632
45100,1974/12,402.0564167,2462.106667
45100,1975/01,373.97825,2477.008
45100,1975/02,349.8255,2485.644
45100,1975/03,376.9574167,2552.847484
45100,1975/04,374.7015,2707.0304
45100,1975/05,372.4066667,2763.460235
45100,1975/06,400.44625,2780.429143
45100,1975/07,393.05575,2651.506
45100,1975/08,497.0976667,2562.581419
45100,1975/09,464.5626667,2584.2976
45100,1975/10,409.97475,2494.640516
45100,1975/11,422.5613333,2436.005143
45100,1975/12,384.3375833,2458.457806
45100,1976/01,359.3568333,2464.652129
45100,1976/02,339.67425,2479.180138
45100,1976/03,402.4345,2609.874581
45100,1976/04,430.5748333,2758.8464
45100,1976/05,435.48975,2795.507613
45100,1976/06,407.3624167,2728.468
45100,1976/07,415.1371667,2612.4408
45100,1976/08,383.7206667,2493.4545
45100,1976/09,341.85975,2381.0976
45100,1976/10,322.5890833,2292.980903
45100,1976/11,265.12275,2237.1304
45100,1976/12,210.3408333,2204.195613
45100,1977/01,159.1296667,2179.545778
45100,1977/02,115.328,2193.387692
45100,1977/03,169.1921667,2320.707871
45100,1977/04,167.6326667,2457.8056
45100,1977/05,133.8219167,2390.0384
45100,1977/06,165.2299167,2326.0304
45100,1977/07,223.2923333,2299.765161
45100,1977/08,276.3278333,2291.801032
45100,1977/09,315.6750833,2323.9984
45100,1977/10,309.73,2368.984258
45100,1977/11,318.421,2389.5304
45100,1977/12,308.1606667,2396.809548
45100,1978/01,282.6961667,2413.62271
45100,1978/02,224.2834167,2408.899714
45100,1978/03,163.9233333,2385.994065
45100,1978/04,194.5724167,2532.4816
45100,1978/05,251.3128333,2683.321548
45100,1978/06,282.65975,2752.6488
45100,1978/07,322.5285833,2770.926968
45100,1978/08,344.2121667,2682.534968
45100,1978/09,428.8558333,2683.256
45100,1978/10,416.1759167,2691.580645
45100,1978/11,417.0156667,2660.4976
45100,1978/12,403.7619167,2677.323871
45100,1979/01,402.1606667,2698.496
45100,1979/02,364.0733333,2715.768
45100,1979/03,400.2666667,2780.1824
45100,1979/04,412.00475,2985.6176
45100,1979/05,416.6150833,3068.029714
45100,1979/06,431.7659167,3041.359714
45100,1979/07,431.8613333,2949.087484
45100,1979/08,497.0396667,2880.654968
45100,1979/09,438.3845833,2789.2248
45100,1979/10,431.7635,2699.151484
45100,1979/11,422.66625,2687.32
45100,1979/12,397.0395,2691.384
45100,1980/01,365.165,2715.079742
45100,1980/02,312.9835833,2711.668966
45100,1980/03,263.2404167,2698.266581
45100,1980/04,275.998,2764.9424
45100,1980/05,271.85675,2754.015484
45100,1980/06,332.4991667,2772.156
45100,1980/07,352.16675,2712.130065
45100,1980/08,446.2163333,2692.268903
45100,1980/09,497.0245,2684.272
45100,1980/10,476.3013333,2666.410065
45100,1980/11,440.30375,2634.197714
45100,1980/12,415.1695833,2632.640727
45100,1981/01,347.2891667,2641.092
45100,1981/02,338.7100833,2659.162286
45100,1981/03,279.7194167,2742.708387
45100,1981/04,314.82,2802.7376
45100,1981/05,267.0505833,2736.120774
45100,1981/06,291.8525,2667.4064
45100,1981/07,333.0525,2627.714667
45100,1981/08,411.6086667,2630.424
45100,1981/09,467.6300833,2614.422
45100,1981/10,506.1234167,2614.692387
45100,1981/11,473.8045833,2601.1632
45100,1981/12,421.1288333,2600.042323
45100,1982/01,405.40775,2644.582452
45100,1982/02,338.8515,2637.173143
45100,1982/03,320.1435833,2635.438452
45100,1982/04,341.9303333,2810.4592
45100,1982/05,391.9328333,2823.726194
45100,1982/06,378.3946667,2802.4328
45100,1982/07,421.7131667,2751.852387
45100,1982/08,451.0839167,2668.671484
45100,1982/09,427.8570833,2631.0336
45100,1982/10,430.0238333,2571.627097
45100,1982/11,515.0606667,2620.264
45100,1982/12,521.9978333,2688.139355
45100,1983/01,488.4366667,2705.247484
45100,1983/02,459.5353333,2726.653714
45100,1983/03,460.0761667,2763.800276
45200,1970/07,22.77125,29970.984
45200,1974/06,597.68875,30665.928
45200,1975/06,580.5343333,30568.392
45200,1981/08,617.0855,30038.04
45200,1983/06,852.4470833,30550.104
45200,1984/07,1040.900333,30516.576
49400,1970/09,-6.696333333,29757.624
49400,1974/06,316.4333333,30016.704
49400,1981/08,354.2060833,29922.216
63700,1970/09,72.93516667,29090.112
63700,1974/06,403.9071667,29160.216
63700,1981/08,375.7295,29492.448
64000,1974/06,376.3579167,29839.92
64000,1975/05,309.8815,29989.272
64000,1979/06,403.1423333,30038.04
64000,1981/08,370.0846667,29864.304
68300,1974/06,304.1335833,28154.376
68300,1981/08,167.3418333,27962.352
68600,1974/04,173.1176667,29977.08
68600,1974/06,236.6768333,29925.264
68600,1975/05,126.2971667,29928.312
68600,1981/08,115.5428333,29785.056
72800,1970/09,1.66275,28410.408
72800,1974/06,309.5768333,28614.624
72800,1975/05,243.6318333,28602.432
72800,1981/08,374.2521667,28544.52
77300,1975/05,126.2971667,29056.584
77300,1981/08,115.5428333,28891.992
77500,1974/05,216.8501667,29766.768
77500,1975/05,148.1953333,29733.24
77500,1981/08,136.0729167,29364.432
77600,1973/04,134.5525833,28587.192
77600,1974/06,236.6768333,28581.096
77600,1975/05,126.2971667,28514.04
77600,1981/08,115.5428333,28227.528
82900,1974/06,386.3709167,27108.912
82900,1981/08,231.1821667,26816.304
93100,1973/04,298.8805833,29172.408
93100,1974/06,424.91625,29074.872
93100,1975/07,434.9775833,29114.496
93100,1981/08,246.9634167,28806.648
94300,1974/06,426.9431667,212402.928
94300,1974/08,475.7044167,212354.16
94300,1975/06,383.2673333,212409.024
94300,1980/02,282.1148333,212457.792
101300,1973/07,219.0215833,297795.696
101300,1985/05,173.6448333,298743.624
101300,1987/11,298.8231667,298478.448
101300,1993/07,338.6843333,298993.56
101300,2001/08,214.1449167,297768.264
101300,2002/08,303.6945833,297896.28
101300,2003/10,220.0691667,297585.384
101300,2004/08,442.6935833,297728.64
101300,2005/08,402.1955833,297567.096
101300,2006/09,308.74425,297085.512
101300,2007/08,300.4349167,296829.48
101300,2008/08,381.1938333,297216.576
101300,2009/08,301.2238333,297137.328
101300,2010/07,490.5106667,297390.312
101300,2011/08,473.78775,297874.944
101300,2012/07,347.6,297481.752
101300,2013/07,380.2825833,297469.56
101300,2014/07,292.7313333,297265.344
101300,2015/08,249.8368333,296905.68
101600,1978/07,-98.13208333,448.818
101600,1978/08,-69.99983333,404.7744
101600,1978/09,23.28825,455.3712
101600,1978/10,1.082166667,470.6112
101600,1978/11,4.628833333,461.264
101600,1979/05,-42.57225,643.128
101600,1979/06,-35.59891667,616.712
101600,1979/07,-11.919,646.176
101600,1979/08,77.46283333,757.428
101600,1979/09,26.20791667,730.3008
101600,1979/10,36.72091667,688.848
101600,1979/11,33.09683333,744.9312
102100.3,1973/07,180.3760833,265005.312
102100.3,1981/07,-8.125416667,264209.784
102100.3,1985/05,176.0381667,265020.552
102100.4,1973/07,180.3760833,265075.416
102100.4,1973/09,198.0849167,264825.48
102100.4,1976/10,-50.45391667,264136.632
102100.4,1979/09,90.62208333,264618.216
102100.4,1985/05,176.0381667,265313.16
102100.4,1987/11,339.577,264414
102100.4,1993/07,333.61275,265419.84
102100.4,1998/04,33.04291667,264456.672
102100.4,1999/07,218.648,264676.128
102100.4,2001/08,161.72675,264642.6
102100.4,2002/07,291.3055,264950.448
102100.4,2003/09,225.2056667,263956.8
102100.4,2004/06,431.7799167,264691.368
102100.4,2005/08,301.6875833,264282.936
102100.4,2006/08,192.1951667,263975.088
102100.4,2007/08,250.4985833,263935.464
102100.4,2008/08,298.1109167,264825.48
102100.4,2009/08,137.1423333,264295.128
102100.4,2010/07,254.6675,264581.64
102100.4,2011/07,316.0596667,265035.792
102100.4,2012/08,199.7755833,264401.808
102100.4,2013/07,313.3593333,264606.024
102100.4,2014/07,324.4911667,264474.96
102100.4,2015/08,292.2071667,264118.344
102600,1973/06,199.5258333,29614.368
102600,1973/09,215.3686667,29562.552
102600,1974/04,97.79858333,29599.128
102600,1976/06,11.72108333,29410.152
102600,1980/07,-88.02975,29397.96
102600,1982/06,13.67858333,29489.4
102600,1983/05,50.83683333,29529.024
102600,1984/03,2.822333333,29504.64
102600,1984/05,35.94641667,29599.128
102600,1985/06,167.0715833,29419.296
102600,1988/04,192.964,29428.44
102600,1989/04,-49.39958333,29090.112
102700,1997/05,116.4855833,28529.28
102700,1997/11,180.3035,28498.8
102900,1993/07,340.5385,263252.712
102900,1996/03,119.222,263258.808
102900,1998/04,44.16933333,262652.256
102900,1999/07,207.3450833,262481.568
102900,2001/08,121.9320833,262646.16
102900,2002/07,236.3288333,262844.28
102900,2003/09,176.2135,262262.112
102900,2004/06,389.53425,262384.032
102900,2005/08,275.1930833,262073.136
102900,2006/08,175.29325,261478.776
102900,2007/08,220.1178333,261137.4
102900,2008/08,293.5288333,261893.304
102900,2009/08,148.444,261838.44
102900,2010/07,272.2029167,261814.056
102900,2011/07,350.5579167,262603.488
102900,2012/08,238.6076667,262499.856
102900,2013/08,316.9948333,262423.656
102900,2014/07,358.62675,262380.984
102900,2015/08,313.34925,262024.368
103100,2002/06,363.6913333,3337.56
103100,2002/07,375.33275,3270.504
103100,2002/08,373.72225,3212.592
103100,2004/04,96.3765,2749.296
103100,2004/06,405.70825,2965.704
103100,2004/07,427.17725,2996.184
103100,2004/08,494.1745,3063.24
103400,1974/04,142.995,287630.616
103400,1974/05,186.5231667,287645.856
103400,1979/08,147.1956667,287142.936
103400,1981/08,126.8190833,287158.176
103400,1982/06,24.31316667,287344.104
103400,1984/05,51.807,287209.992
103400,1985/06,172.44225,287624.52
103600,1977/08,-111.1090833,29413.2
103600,1982/11,93.08791667,30068.52
103600,1983/06,38.0315,30190.44
103600,1983/08,125.5974167,30022.8
103600,1984/05,33.28341667,30140.148
103600,1984/06,144.15,30022.8
103600,1985/01,180.79425,30260.544
103600,1985/05,138.8475,30187.392
103600,1985/06,156.6090833,30193.488
103600,1987/04,247.2558333,30476.952
103900.1,1966/08,-55.063,185.928
103900.1,1966/09,-84.42616667,157.734
103900.1,1966/10,-127.0611667,95.504
103900.1,1966/12,-170.7544167,73.152
103900.1,1967/03,-240.8876667,9.144
103900.1,1967/04,-228.8578333,249.936
103900.1,1967/05,-239.4736667,219.456
103900.1,1967/06,-135.164,216.408
103900.1,1967/10,-113.0445833,103.632
103900.1,1967/11,-140.4950833,146.304
103900.1,1967/12,-170.8220833,170.688
103900.1,1968/01,-209.343,48.768
103900.1,1968/03,-307.75725,155.448
103900.1,1968/04,-265.2733333,173.736
103900.1,1968/05,-224.0145833,188.976
103900.1,1968/06,-118.4825833,137.16
103900.1,1968/07,-103.6945833,231.648
103900.1,1968/08,-101.5476667,158.496
103900.1,1968/09,-34.70783333,170.688
103900.1,1968/10,-65.34991667,128.016
103900.1,1968/11,-107.4170833,121.92
103900.1,1968/12,-105.1155833,112.776
