WiscID,Name,County,MinYr,MaxYr,NumOb,NumYr,source,LakeType,WIBIC,lagoslakeid,lat,long
113,Kating Lake,Waupaca,1973,1981,3,3,DNR Historical Data,seepage,189100,5074,44.50565099,-89.10843155
114,Kusel Lake,Waushara,1963,2014,33,30,Waushara,seepage,189600,2516,44.17085723,-89.164774
115,Lake Emily,Portage,1976,1979,99,4,USGS,seepage,189800,5195,44.46775129,-89.3278919
116,Emily Lake,Portage,1940,1985,9,7,DNR Historical Data,seepage,189800,5195,44.47030119,-89.33781888
117,Lime Lake,Portage,1940,1994,6,6,DNR Historical Data,seepage,190100,2192,44.4208064,-89.34511615
118,Napowan Lake,Waushara,1975,1995,8,8,DNR Historical Data,seepage,190200,1495,44.14761258,-89.1524778
119,Napowan Lake,Waushara,1985,2015,22,22,Waushara,seepage,190200,1495,44.14761258,-89.1524778
120,Little Long Lake,Forest,1974,1981,3,3,DNR Historical Data,seepage,190500,3322,45.42502703,-88.77121879
121,Long Lake,Waushara,2011,2015,108,5,USGS,seepage,191100,750,44.2157222,-89.1207222
122,Long Lake,Waushara,1961,1995,21,18,DNR Historical Data,seepage,191100,750,44.21630946,-89.12494537
123,Long Lake (Saxeville),Waushara,1947,2015,106,58,Waushara,seepage,191100,750,44.21630946,-89.12494537
124,Loon Lake,Langlade,1978,1981,3,3,DNR Historical Data,seepage,191400,4497,45.38862943,-89.09475412
125,Meyer Lake,Langlade,1974,1981,3,3,DNR Historical Data,seepage,192500,132938,45.05111105,-89.07465251
126,Mud Lake,Marathon,1974,1981,2,2,DNR Historical Data,seepage,193800,40706,44.91917671,-89.29106901
127,Mueller Lake,Langlade,1967,1981,4,4,DNR Historical Data,seepage,194000,5200,45.16313151,-88.98520107
128,Oak Lake,Forest,1977,1978,10,2,USGS,seepage,194800,89618,45.473297,-88.9398353
129,Old Taylor Lake,Waupaca,1973,1981,3,3,DNR Historical Data,seepage,195000,5179,44.34249237,-89.11280663
130,Pearl Lake,Waushara,1975,2015,19,19,Waushara,seepage,195400,5463,44.08860619,-89.11802775
131,Pickerel Lake,Portage,1976,1979,53,4,USGS,seepage,195900,1057,44.31608608,-89.3231721
132,Pine Lake,Waushara,1961,1995,19,13,DNR Historical Data,seepage,196100,4261,44.23275643,-89.16245575
133,Pine Lake (Springwater),Waushara,1961,2015,35,30,Waushara,seepage,196100,4261,44.23275643,-89.16245575
134,Round Lake,Waushara,1900,1995,16,12,DNR Historical Data,seepage,197300,75921,44.16246304,-89.16177896
135,Round Lake,Waushara,1998,2015,17,17,Waushara,seepage,197300,75921,44.16246304,-89.16177896
136,Round Lake,Menominee,1990,1992,59,3,USGS,seepage,197600,715,44.8910962,-88.5639929
137,Sand Lake,Menominee,1992,1992,2,1,USGS,seepage,197900,73816,44.8891527,-88.5420484
138,Sawyer Lake,Langlade,1970,1981,4,4,DNR Historical Data,seepage,198100,4708,45.24754815,-88.75906139
139,Silver Lake,Waupaca,1939,1981,4,3,DNR Historical Data,seepage,198800,4283,44.4647946,-89.14072066
140,Stenson Lake,Marathon,1977,1981,3,3,DNR Historical Data,seepage,199300,60393,44.71184716,-89.27334007
141,Sunset Lake,Portage,1940,1981,2,2,DNR Historical Data,seepage,199700,5522,44.54471137,-89.27715966
142,Thomas Lake,Portage,1974,1981,2,2,DNR Historical Data,seepage,200300,4334,44.47358131,-89.39027712
143,Little Twin Lake,Waushara,1985,2015,19,19,Waushara,seepage,200900,25024,44.22808726,-89.32045653
144,White Lake,Shawano,1974,1981,3,3,DNR Historical Data,seepage,240800,4544,44.67335191,-88.45060452
145,Wilson Lake,Shawano,1970,1981,2,2,DNR Historical Data,seepage,240900,4730,44.81726142,-89.21966638
146,Wolf Lake,Portage,1977,1981,2,2,DNR Historical Data,seepage,241100,4747,44.32445208,-89.35097097
150,Norwegian Lake,Waushara,1975,2014,19,18,Waushara,seepage,247200,4372,44.14268002,-89.2169887
152,Wilson Lake,Waushara,1963,1995,19,16,DNR Historical Data,seepage,250000,4983,44.17482414,-89.17396074
153,Wilson Lake,Waushara,1975,2015,21,21,Waushara,seepage,250000,4983,44.17482414,-89.17396074
159,Stratton Lake,Waupaca,1973,1983,5,5,DNR Historical Data,seepage,259600,4386,44.29169282,-89.18181053
160,McCrossen Lake,Waupaca,1937,1981,5,5,DNR Historical Data,seepage,265100,5237,44.33349566,-89.16027695
161,Rainbow Lake,Waupaca,1939,1981,5,4,DNR Historical Data,seepage,265300,4896,44.34206003,-89.14991651
162,Taylor Lake,Waupaca,1970,1984,5,5,DNR Historical Data,seepage,265600,128788,44.341987,-89.14033714
164,Collins Lake,Portage,1940,1996,3,3,DNR Historical Data,seepage,270200,5424,44.60052909,-89.34207875
168,Campbell Lake,Waupaca,1941,1981,3,3,DNR Historical Data,seepage,284300,4741,44.5570981,-89.00387487
171,Mayflower Lake,Marathon,1967,1981,4,4,DNR Historical Data,seepage,310500,5485,44.91194985,-89.25495091
177,La Motte Lake,Menominee,1990,1992,46,3,USGS,seepage,339600,2791,44.8847057,-88.60343739
188,Saint Johns Lake,Forest,1974,1981,3,3,DNR Historical Data,seepage,388700,140146,45.43978431,-88.87741317
189,Little Sand Lake,Forest,1977,2003,1522,10,USGS,seepage,389700,128789,45.4632974,-88.919557
190,Little Sand Lake,Forest,1976,1990,6,6,DNR Historical Data,seepage,389700,128789,45.46998052,-88.91916868
191,Mole Lake,Forest,1973,1990,7,7,DNR Historical Data,seepage,390600,56287,45.4792017,-88.97688846
195,Devils Lake,Forest,1983,1983,1,1,USGS,seepage,396700,1405,45.549964,-88.8334458
196,Whiteye Lake,Forest,1970,1981,2,2,DNR Historical Data,seepage,406600,140148,45.58360868,-88.99766347
198,Ada Lake,Langlade,1967,1981,5,5,DNR Historical Data,seepage,417300,4932,45.37177528,-88.73651189
199,Archibald Lake,Oconto,1973,1981,6,5,DNR Historical Data,seepage,417400,5104,45.28299922,-88.5866449
200,Archibald Lake - Staff Gage,Oconto,2015,2015,14,1,SWIMS,seepage,417400,5104,45.28162,-88.59973
201,Bass Lake,Oconto,1973,1981,6,5,DNR Historical Data,seepage,417900,4421,45.27634967,-88.62091917
202,Bear Paw Lake,Oconto,1976,1983,4,4,DNR Historical Data,seepage,418000,823,45.18138252,-88.39409948
203,Berry Lake,Oconto,2013,2015,836,3,USGS,seepage,418300,4785,44.8875,-88.4722222
204,Berry Lake,Oconto,1973,1983,6,5,DNR Historical Data,seepage,418300,4785,44.88920668,-88.47905223
205,Boot Lake,Oconto,1936,1981,1269,38,USGS,seepage,418700,5318,45.27163496,-88.6331618
206,Grindle Lake - Staff Gage,Oconto,2015,2015,11,1,SWIMS,seepage,421600,3236,45.23316,-88.370834
207,Halfmoon Lake,Oconto,1973,1983,5,5,DNR Historical Data,seepage,421800,5221,45.18588363,-88.20228521
208,Paya Lake,Oconto,1975,1981,3,3,DNR Historical Data,seepage,425600,4706,45.27601723,-88.48478687
209,Paya Lake - Staff Gage,Oconto,2015,2015,11,1,SWIMS,seepage,425600,4706,45.27279,-88.48794
210,Shay Lake,Oconto,1976,1981,3,3,DNR Historical Data,seepage,427300,3746,45.25946764,-88.64622124
212,Star Lake,Oconto,1979,1981,3,2,DNR Historical Data,seepage,427900,1485,45.22658411,-88.58509273
213,Surprise Lake,Oconto,1979,1981,2,2,DNR Historical Data,seepage,428100,3134,45.35216649,-88.60762664
214,Waubee Lake,Oconto,1975,1981,3,3,DNR Historical Data,seepage,439500,4368,45.3453033,-88.44221501
215,Wheeler Lake,Oconto,1936,1991,2723,52,USGS,seepage,439800,5351,45.31857896,-88.4828845
216,Wheeler Lake,Oconto,1970,1981,8,6,DNR Historical Data,seepage,439800,5351,45.31883275,-88.47614941
217,Wheeler Lake - Staff Gage,Oconto,2015,2015,2,1,SWIMS,seepage,439800,5351,45.30947,-88.47362
227,Newton Lake,Marathon,1973,1981,4,4,DNR Historical Data,seepage,498800,4902,45.36863543,-88.11620006
229,Hilbert Lake,Marinette,1973,1981,5,5,DNR Historical Data,seepage,501200,5154,45.70884915,-88.41582845
230,King Lake,Forest,1983,1983,1,1,USGS,seepage,501700,57306,45.42107657,-88.427888
231,LaFaye Lake,Marinette,1974,1981,4,4,DNR Historical Data,seepage,502000,105993,45.71333118,-88.39333756
232,Little Newton Lake,Marathon,1973,1981,4,4,DNR Historical Data,seepage,502300,5431,45.36582294,-88.12427682
233,Oneonta Lake,Marinette,1975,1981,3,3,DNR Historical Data,seepage,503300,2181,45.71838693,-88.4190854
234,Rost Lake,Oconto,1970,1983,8,7,DNR Historical Data,seepage,504300,4849,45.05613391,-88.13995938
236,Underwood Lake - Staff Gage,Oconto,2015,2015,2,1,SWIMS,seepage,519700,5533,45.045612,-88.24212
237,Gilas Lake,Marinette,1969,1983,6,5,DNR Historical Data,seepage,523300,5521,45.16195348,-88.17300833
