"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"BB[26,1]",-1.10932353428433,0.113262000924318,-1.32271794404902,-1.18568744161441,-1.10995527750807,-1.03144685688944,-0.87843214306701,1.00133332015683,1378,0,1
"BB[27,1]",-1.4917851747281,0.329833454542582,-2.13105272240888,-1.70549923276105,-1.49747525045852,-1.2747737289561,-0.837637186720082,1.00054163014024,1500,0,1
"BB[28,1]",-1.50602832377267,0.234407608661219,-1.95155833761578,-1.66826759290479,-1.51326105927529,-1.34523528675409,-1.02475341158028,1.00024315462465,1500,0,1
"BB[29,1]",-2.04536674800355,0.211906080034039,-2.46829660648114,-2.18984871340733,-2.04187628492639,-1.90775616054594,-1.6322853792341,1.00063718083795,1500,0,1
"BB[30,1]",-1.39834465213161,0.435078072574523,-2.28328170737077,-1.6808332429531,-1.40545911822044,-1.12343202758658,-0.528964959590779,0.9992486671424,1500,0,0.998666666666667
"BB[31,1]",-1.56024945952659,0.155602904777023,-1.8734941472411,-1.66057057351502,-1.5593081359066,-1.45856512059802,-1.24728185557814,1.00062428777306,1500,0,1
"BB[32,1]",-1.42510818852505,0.142609967984588,-1.72655172685124,-1.51679253066091,-1.42273802164167,-1.32978560965716,-1.14894186626099,1.00069338220149,1500,0,1
"BB[33,1]",-1.30583126313593,0.430214911456263,-2.163788023336,-1.59701485589195,-1.30990414512981,-1.0148427369053,-0.428639298287235,1.00068289014672,1500,0,0.999333333333333
"BB[34,1]",-2.22991572760877,0.440466652860213,-3.07816548991417,-2.52679890072846,-2.22066455117696,-1.92546104846133,-1.39949100475799,1.00098116504182,1500,0,1
"BB[35,1]",-1.88595084293959,0.18364619815917,-2.24444130731911,-2.00881892533643,-1.88923990267837,-1.76406898053579,-1.52877390392244,1.00003141072143,1500,0,1
"BB[36,1]",-1.57639211204092,0.319339010396704,-2.20289958203909,-1.78695405965905,-1.57529938825274,-1.35412240848374,-0.97983144400209,1.00004669827715,1500,0,1
"BB[37,1]",-1.76649748636906,0.281733205178701,-2.29530841396242,-1.96226080789729,-1.77367139832724,-1.5833610131618,-1.19743390203275,1.00153465029858,1500,0,1
"BB[38,1]",-1.4042179475162,0.141939045881329,-1.69106804810484,-1.49969316333673,-1.40238068704084,-1.30694720359938,-1.13241056991214,1.00026887606895,1500,0,1
"BB[39,1]",-2.01569938760272,0.280455928395411,-2.55702265227696,-2.2117688641306,-2.01828123261875,-1.8183577241132,-1.47980449435478,1.00061641395223,1377,0,1
"BB[40,1]",-1.44783728774587,0.441694836254953,-2.31497363963769,-1.73314733412442,-1.43254087154099,-1.15202191531292,-0.59311306377295,1.0033474938526,503,0,1
"BB[41,1]",-1.49156239226069,0.289477399207328,-2.03723309243996,-1.6945015519121,-1.48678067736378,-1.2923192710714,-0.923829106352336,1.00152733604988,1416,0,1
"BB[42,1]",-0.820272994191924,0.292869139954308,-1.36595614219082,-1.02293591712971,-0.824383126857797,-0.62750648130953,-0.223334627193593,1.00408575054679,442,0,0.994666666666667
"BB[43,1]",-1.6168179701859,0.366813313005482,-2.34478310181789,-1.86921705227432,-1.61054944732422,-1.35853502900696,-0.926814700227327,0.999732273366207,1500,0,1
"BB[44,1]",-0.157256222811926,0.258787327790956,-0.654762836289803,-0.332105438428243,-0.15995920183549,0.015319769386402,0.381454186819447,0.999223208196029,1500,1,0.731333333333333
"BB[45,1]",-2.47822242679668,0.0937348584941177,-2.66896669224925,-2.53787375859867,-2.47981620584136,-2.41637120308307,-2.29879488993622,1.00144202926326,1500,0,1
"BB[46,1]",-1.20676804402182,0.280860617294939,-1.77734085819821,-1.38669737011535,-1.20681100152243,-1.0190630856534,-0.69037655641599,1.00319852208341,536,0,1
"BB[47,1]",-2.05613857492536,0.361488136648898,-2.77043677930254,-2.3009849727486,-2.04902194081537,-1.80178953080006,-1.36494566449115,1.0000599132177,1500,0,1
"BB[48,1]",-1.55717830078611,0.192962585212292,-1.94235399246134,-1.68989801049165,-1.55989195537943,-1.42695709902397,-1.1803031039984,0.999935073517093,1500,0,1
"BB[49,1]",-1.30526148315835,0.233028634286475,-1.75975069378745,-1.45965268905609,-1.30241557637486,-1.14809396263168,-0.857367462980083,1.00227971709797,846,0,1
"BB[50,1]",-1.44882160167933,0.305047214276706,-2.05447559076237,-1.65111423535337,-1.44897050453658,-1.24217640829414,-0.879832343823046,1.00069066041989,1228,0,1
"BB[51,1]",-1.41899770137791,0.287898617409705,-1.96911707868114,-1.61880201149006,-1.42663345807945,-1.22688971250979,-0.844305285966411,1.00031425145908,1500,0,1
"BB[1,2]",0.889861383056516,0.0534226252489043,0.789412133692813,0.852856975364955,0.890405473979124,0.927130233570824,0.992178561332327,1.00009476180383,1500,0,1
"BB[2,2]",1.21190945266988,0.0972549482434338,1.02411733752158,1.14664955452805,1.21282115334917,1.27929250081181,1.40173039819645,1.00236603950235,950,0,1
"BB[3,2]",1.38491047399059,0.153553902680363,1.10362516767282,1.2785327130166,1.3795514936888,1.48813091588845,1.68093344691726,0.999961604826975,1500,0,1
"BB[4,2]",0.893206766119329,0.205485301468869,0.476818290741012,0.758778585364386,0.894291545805601,1.03251760522719,1.28666084745482,1.00143452540901,1500,0,1
"BB[5,2]",1.08249592895599,0.167714764161218,0.743759181627399,0.973415296445464,1.08199051404257,1.19570104746929,1.41300099583449,1.00054946369734,1500,0,1
"BB[6,2]",0.552042043779581,0.163592975497919,0.220360965412463,0.441467562248499,0.554601993371815,0.66420956394272,0.859621148264068,0.999624689087239,1500,0,1
